GATE_SS_UW: -538.3373,2187.947,-544.2719,2035.353,2,0
GATE_UW_SS: -94.04671,-1698.477,-28.40623,-1795.364,0,0
SS_A01: 1525.433,718.8366,1256.42,780.8971,0,2
SS_A03: -1492.567,123.8369,-1069.58,182.897,0,1
SS_A04: -900.5669,-252.1631,-591.5804,-103.1031,0,1
SS_A08: 132.4328,-1595.164,216.4198,-1740.104,0,1
SS_A09: -27.5668,-1365.164,40.41937,-1515.104,0,1
SS_A10: -15.56701,-1254.164,46.41937,-1388.104,0,1
SS_A11: -403.5667,302.8369,-213.5802,269.897,0,3
SS_A13: 1199.433,-337.1631,748.4196,-560.1029,1,4
SS_A14: 1204.432,717.8366,973.4196,782.8971,0,2
SS_A15: -1461.567,15.83694,-1056.58,14.89683,0,1
SS_A16: -1499.567,230.8369,-1067.58,329.8971,0,3
SS_A17: 756.4333,359.8369,618.42,395.8971,0,1
SS_A18: 1058.433,-1273.164,624.4198,-1277.104,1,4
SS_A19: -12.1145,-1594.332,102.1864,-1741.624,0,1
SS_AI: 284.3057,1493.33,487.3106,1386.652,1,0
SS_B01: 122.4329,-1427.164,212.4198,-1606.104,0,1
SS_B02: -1006.567,223.8367,-665.5804,386.8971,0,3
SS_B03: -226.567,-633.1629,-99.58004,-502.103,0,1
SS_B04: 1214.433,-516.1634,756.4196,-767.1029,1,4
SS_B05: 560.4334,-1376.164,216.4198,-1392.104,1,0
SS_B06: -654.5666,-303.1631,-481.5804,-139.103,0,1
SS_C02: -235.567,-1370.164,-88.58002,-1294.104,0,1
SS_C03: -1588.567,451.8371,-1214.58,500.8971,0,3
SS_C04: 562.4329,-392.1631,387.4193,-192.103,0,1
SS_C06: -1453.567,-219.1632,-1062.58,-297.1029,0,1
SS_C07: -1184.567,594.8371,-729.5804,676.8971,0,3
SS_C08: 449.4329,318.8369,267.4196,380.8971,0,1
SS_D02: 789.4329,541.8371,581.4198,575.8971,0,2
SS_D03: -418.5671,85.83669,-279.5803,13.89686,0,3
SS_D04: -341.5671,-410.1631,-224.58,-249.1029,0,1
SS_D05: 1449.433,-392.1631,909.4196,-646.1029,1,4
SS_D06: 877.4329,-1447.164,444.4197,-1481.104,1,4
SS_D07: 38.66279,1628.949,-303.2722,1444.355,2,0
SS_D08: -303.9677,2249.733,-413.9027,2032.861,2,1
SS_E01: -230.567,-807.1629,-302.5806,-682.1029,0,1
SS_E02: -1001.567,10.83697,-867.5801,9.896864,0,1
SS_E03: 752.4333,-12.16303,615.4198,-58.1031,0,1
SS_E04: 539.4329,-805.1629,226.4199,-680.1029,0,0
SS_E05: 1523.617,11.23664,1256.42,-72.10316,1,4
SS_E06: 241.433,568.8371,34.41938,660.8971,0,1
SS_E07: 252.433,905.8371,246.4198,785.8971,0,5
SS_E08: -188.8944,1957.303,-298.3043,1596.481,2,1
SS_F01: -483.5667,-1214.164,-377.5804,-1189.104,0,1
SS_F02: -786.5667,-810.1629,-630.5804,-765.1029,0,1
SS_F03: 1208.433,-981.1618,755.4196,-1282.104,1,4
